resena_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,ciudad_cliente,pais_cliente,segmento_cliente,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,nivel_rating_restaurante,calificacion,tiene_comentario,comentario
2972,8234,20260830,2026-08-30,30,Sunday,1,36,8,August,3,2026,2026-08,5562,5563,Cliente_005563,Yokohama,Japan,VIP,233,234,Bangalore Smokehouse Diner,American,Bangalore,India,Alto,2.0,0,
2973,8235,20260722,2026-07-22,22,Wednesday,0,30,7,July,3,2026,2026-07,1732,1733,Cliente_001733,Houston,United States,Recurrente,234,235,Houston Lumiere Eatery,French,Houston,United States,Medio,3.6,0,
2974,8240,20260830,2026-08-30,30,Sunday,1,36,8,August,3,2026,2026-08,3023,3024,Cliente_003024,New York,United States,VIP,239,240,New York Oasis Kitchen,Middle Eastern,New York,United States,Medio,3.6,0,
2975,8242,20260812,2026-08-12,12,Wednesday,0,33,8,August,3,2026,2026-08,4850,4851,Cliente_004851,Birmingham,United Kingdom,VIP,241,242,Tokyo Lotus Leaf Kitchen & Bar,Vietnamese,Tokyo,Japan,Medio,1.9,0,
2976,8244,20251203,2025-12-03,3,Wednesday,0,49,12,December,4,2025,2025-12,3129,3130,Cliente_003130,Chennai,India,VIP,243,244,Los Angeles Toro Garden,Spanish,Los Angeles,United States,Alto,1.9,0,
2977,8248,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,4723,4724,Cliente_004724,London,United Kingdom,VIP,247,248,New York Seoul Corner,Korean,New York,United States,Alto,5.0,0,
2978,8249,20260515,2026-05-15,15,Friday,0,20,5,May,2,2026,2026-05,654,655,Cliente_000655,Tokyo,Japan,Recurrente,248,249,Tokyo Route 66 Place,American,Tokyo,Japan,Medio,4.3,1,"Really enjoyed this, everything arrived hot."
2979,8250,20241222,2024-12-22,22,Sunday,1,52,12,December,4,2024,2024-12,3454,3455,Cliente_003455,Tokyo,Japan,VIP,249,250,New York Chateau House,French,New York,United States,Alto,1.9,0,
2980,8252,20250715,2025-07-15,15,Tuesday,0,29,7,July,3,2025,2025-07,747,748,Cliente_000748,Hyderabad,India,VIP,251,252,Hyderabad Siam Kitchen,Thai,Hyderabad,India,Medio,4.9,0,
2981,8254,20260415,2026-04-15,15,Wednesday,0,16,4,April,2,2026,2026-04,981,982,Cliente_000982,Rio de Janeiro,Brazil,VIP,253,254,Delhi Cedar Kitchen & Bar,Mediterranean,Delhi,India,Alto,3.4,0,
2982,8255,20241206,2024-12-06,6,Friday,0,49,12,December,4,2024,2024-12,5973,5974,Cliente_005974,Delhi,India,EnRiesgo,254,255,Delhi Casbah Grill,Middle Eastern,Delhi,India,Alto,3.9,0,
2983,8256,20251124,2025-11-24,24,Monday,0,48,11,November,4,2025,2025-11,3616,3617,Cliente_003617,Bangalore,India,VIP,255,256,Tokyo Golden Dragon Garden,Chinese,Tokyo,Japan,Medio,1.9,0,
2984,8258,20260728,2026-07-28,28,Tuesday,0,31,7,July,3,2026,2026-07,515,516,Cliente_000516,Mumbai,India,VIP,257,258,Mumbai Copacabana Diner,Brazilian,Mumbai,India,Alto,2.1,0,
2985,8263,20250124,2025-01-24,24,Friday,0,4,1,January,1,2025,2025-01,151,152,Cliente_000152,Rio de Janeiro,Brazil,VIP,262,263,Kyoto Hallyu Cafe,Korean,Kyoto,Japan,Medio,2.4,1,Order arrived late and cold.
2986,8266,20260802,2026-08-02,2,Sunday,1,32,8,August,3,2026,2026-08,5319,5320,Cliente_005320,Hyderabad,India,Recurrente,265,266,Hyderabad Bamboo Kitchen & Bar,Japanese,Hyderabad,India,Bajo,1.9,1,Delivery was very delayed.
2987,8270,20260321,2026-03-21,21,Saturday,1,12,3,March,1,2026,2026-03,4928,4929,Cliente_004929,Fortaleza,Brazil,VIP,269,270,Mumbai Spice Route Diner,Middle Eastern,Mumbai,India,Medio,3.4,0,
2988,8274,20240911,2024-09-11,11,Wednesday,0,37,9,September,3,2024,2024-09,2846,2847,Cliente_002847,Chennai,India,VIP,273,274,Chennai Flamenco House,Spanish,Chennai,India,Alto,3.3,0,
2989,8277,20260805,2026-08-05,5,Wednesday,0,32,8,August,3,2026,2026-08,3528,3529,Cliente_003529,Delhi,India,VIP,276,277,Delhi Frontera Table,Mexican,Delhi,India,Bajo,2.9,1,Decent but could be better.
2990,8278,20250612,2025-06-12,12,Thursday,0,24,6,June,2,2025,2025-06,3252,3253,Cliente_003253,Los Angeles,United States,Recurrente,277,278,Los Angeles Dosan Kitchen & Bar,Korean,Los Angeles,United States,Alto,2.9,1,"Average experience, nothing special."
2991,8282,20260502,2026-05-02,2,Saturday,1,18,5,May,2,2026,2026-05,402,403,Cliente_000403,Chennai,India,Recurrente,281,282,Chennai Bangkok Diner,Thai,Chennai,India,Bajo,3.4,1,"Average experience, nothing special."
2992,8287,20250429,2025-04-29,29,Tuesday,0,18,4,April,2,2025,2025-04,5865,5866,Cliente_005866,Bangalore,India,VIP,286,287,Sao Paulo Lantern Cafe,Vietnamese,Sao Paulo,Brazil,Medio,3.4,1,"It was fine, some items were cold."
2993,8290,20250207,2025-02-07,7,Friday,0,6,2,February,1,2025,2025-02,1131,1132,Cliente_001132,Brasilia,Brazil,VIP,289,290,Nagoya Saffron Kitchen & Bar,Indian,Nagoya,Japan,Alto,3.0,0,
2994,8291,20260312,2026-03-12,12,Thursday,0,11,3,March,1,2026,2026-03,2669,2670,Cliente_002670,Chennai,India,EnRiesgo,290,291,Bangalore Athena Grill,Greek,Bangalore,India,Alto,3.6,1,"Average experience, nothing special."
2995,8293,20251019,2025-10-19,19,Sunday,1,43,10,October,4,2025,2025-10,979,980,Cliente_000980,Rio de Janeiro,Brazil,EnRiesgo,292,293,Rio de Janeiro Charcoal Bistro,Korean,Rio de Janeiro,Brazil,Bajo,2.3,0,
2996,8296,20260824,2026-08-24,24,Monday,0,35,8,August,3,2026,2026-08,3610,3611,Cliente_003611,Rio de Janeiro,Brazil,Recurrente,295,296,Tokyo Sakura Corner,Japanese,Tokyo,Japan,Alto,4.2,0,
2997,8298,20260420,2026-04-20,20,Monday,0,17,4,April,2,2026,2026-04,5093,5094,Cliente_005094,Birmingham,United Kingdom,Recurrente,297,298,Birmingham Piazza House,Italian,Birmingham,United Kingdom,Alto,4.2,1,Consistently good quality.
2998,8301,20260702,2026-07-02,2,Thursday,0,27,7,July,3,2026,2026-07,4697,4698,Cliente_004698,Bangalore,India,VIP,300,301,Bangalore Wok Table,Chinese,Bangalore,India,Medio,3.7,1,"Food was okay, delivery took a while."
2999,8312,20260626,2026-06-26,26,Friday,0,26,6,June,2,2026,2026-06,5671,5672,Cliente_005672,Hyderabad,India,Recurrente,311,312,Hyderabad Lemongrass Kitchen,Thai,Hyderabad,India,Bajo,3.9,0,
3000,8313,20260829,2026-08-29,29,Saturday,1,35,8,August,3,2026,2026-08,3320,3321,Cliente_003321,Chennai,India,VIP,312,313,Chennai Vineyard Table,Italian,Chennai,India,Bajo,3.4,1,"It was fine, some items were cold."
3001,8318,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,5594,5595,Cliente_005595,Chennai,India,VIP,317,318,Chennai Churrascaria Diner,Brazilian,Chennai,India,Alto,3.0,1,"It was fine, some items were cold."
3002,8319,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,1068,1069,Cliente_001069,Chennai,India,Recurrente,318,319,Chennai Madrid Eatery,Spanish,Chennai,India,Bajo,3.0,0,
3003,8321,20260713,2026-07-13,13,Monday,0,29,7,July,3,2026,2026-07,3980,3981,Cliente_003981,New York,United States,VIP,320,321,New York Santorini Place,Greek,New York,United States,Medio,2.4,0,
3004,8326,20260816,2026-08-16,16,Sunday,1,34,8,August,3,2026,2026-08,5106,5107,Cliente_005107,Tokyo,Japan,VIP,325,326,Tokyo Sushi Kitchen & Bar,Japanese,Tokyo,Japan,Medio,3.3,1,"It was fine, some items were cold."
3005,8330,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,27,28,Cliente_000028,Tokyo,Japan,VIP,329,330,Tokyo Bazaar Diner,Middle Eastern,Tokyo,Japan,Medio,3.2,1,"Food was okay, delivery took a while."
3006,8334,20260814,2026-08-14,14,Friday,0,33,8,August,3,2026,2026-08,4682,4683,Cliente_004683,Delhi,India,VIP,333,334,Delhi Barcelona House,Spanish,Delhi,India,Alto,2.1,0,
3007,8339,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,1277,1278,Cliente_001278,Tokyo,Japan,VIP,338,339,Tokyo Diner Grill,American,Tokyo,Japan,Medio,3.2,1,"It was fine, some items were cold."
3008,8340,20260811,2026-08-11,11,Tuesday,0,33,8,August,3,2026,2026-08,4886,4887,Cliente_004887,Hyderabad,India,Recurrente,339,340,Rio de Janeiro Provence Garden,French,Rio de Janeiro,Brazil,Medio,5.0,1,"Great food, fast delivery, will order again."
3009,8345,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,3628,3629,Cliente_003629,Sao Paulo,Brazil,VIP,344,345,Sao Paulo Cedar Grove Place,Middle Eastern,Sao Paulo,Brazil,Medio,2.7,0,
3010,8349,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,4854,4855,Cliente_004855,London,United Kingdom,VIP,348,349,London Costa Table,Spanish,London,United Kingdom,Bajo,4.0,1,Consistently good quality.
3011,8356,20260808,2026-08-08,8,Saturday,1,32,8,August,3,2026,2026-08,1231,1232,Cliente_001232,Delhi,India,VIP,355,356,Delhi Umami Corner,Japanese,Delhi,India,Bajo,5.0,1,Consistently good quality.
3012,8357,20241219,2024-12-19,19,Thursday,0,51,12,December,4,2024,2024-12,2693,2694,Cliente_002694,Mumbai,India,VIP,356,357,Mumbai Chili Place,Thai,Mumbai,India,Medio,4.5,1,Consistently good quality.
3013,8360,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,5558,5559,Cliente_005559,New York,United States,VIP,359,360,New York Oasis Kitchen,Middle Eastern,New York,United States,Bajo,4.0,0,
3014,8364,20260328,2026-03-28,28,Saturday,1,13,3,March,1,2026,2026-03,5484,5485,Cliente_005485,London,United Kingdom,VIP,363,364,Delhi Toro Garden,Spanish,Delhi,India,Bajo,3.3,0,
3015,8367,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,3475,3476,Cliente_003476,Osaka,Japan,Recurrente,366,367,Osaka Salsa Eatery,Mexican,Osaka,Japan,Alto,3.7,0,
3016,8374,20251007,2025-10-07,7,Tuesday,0,41,10,October,4,2025,2025-10,3289,3290,Cliente_003290,Sao Paulo,Brazil,VIP,373,374,Sao Paulo Cedar Kitchen & Bar,Mediterranean,Sao Paulo,Brazil,Bajo,2.5,1,"It was fine, some items were cold."
3017,8380,20250624,2025-06-24,24,Tuesday,0,26,6,June,2,2025,2025-06,1078,1079,Cliente_001079,Chennai,India,VIP,379,380,Chennai Curry Leaf Corner,Indian,Chennai,India,Bajo,3.1,1,"Average experience, nothing special."
3018,8383,20260522,2026-05-22,22,Friday,0,21,5,May,2,2026,2026-05,3459,3460,Cliente_003460,Mumbai,India,VIP,382,383,Chennai Hallyu Cafe,Korean,Chennai,India,Alto,3.6,0,
3019,8385,20250811,2025-08-11,11,Monday,0,33,8,August,3,2025,2025-08,628,629,Cliente_000629,Rio de Janeiro,Brazil,Recurrente,384,385,Rio de Janeiro Rive Gauche Table,French,Rio de Janeiro,Brazil,Bajo,2.5,0,
3020,8386,20250610,2025-06-10,10,Tuesday,0,24,6,June,2,2025,2025-06,2475,2476,Cliente_002476,Rio de Janeiro,Brazil,VIP,385,386,Rio de Janeiro Bamboo Kitchen & Bar,Japanese,Rio de Janeiro,Brazil,Alto,3.1,1,"It was fine, some items were cold."
3021,8387,20260616,2026-06-16,16,Tuesday,0,25,6,June,2,2026,2026-06,2104,2105,Cliente_002105,London,United Kingdom,VIP,386,387,London Basil Grill,Thai,London,United Kingdom,Bajo,3.6,1,"Food was okay, delivery took a while."
3022,8388,20260214,2026-02-14,14,Saturday,1,7,2,February,1,2026,2026-02,5733,5734,Cliente_005734,Yokohama,Japan,Recurrente,387,388,Rio de Janeiro Roma Garden,Italian,Rio de Janeiro,Brazil,Alto,2.2,1,"Poor experience, would not order again."
3023,8389,20250817,2025-08-17,17,Sunday,1,34,8,August,3,2025,2025-08,980,981,Cliente_000981,Sao Paulo,Brazil,VIP,388,389,Sao Paulo Terra Bistro,Mediterranean,Sao Paulo,Brazil,Medio,2.8,0,
3024,8390,20260605,2026-06-05,5,Friday,0,23,6,June,2,2026,2026-06,373,374,Cliente_000374,Sao Paulo,Brazil,VIP,389,390,Sao Paulo Spice Route Diner,Middle Eastern,Sao Paulo,Brazil,Alto,2.6,1,"It was fine, some items were cold."
3025,8391,20260502,2026-05-02,2,Saturday,1,18,5,May,2,2026,2026-05,594,595,Cliente_000595,Hyderabad,India,Recurrente,390,391,Hyderabad Silk Road Eatery,Chinese,Hyderabad,India,Bajo,3.1,0,
3026,8392,20260711,2026-07-11,11,Saturday,1,28,7,July,3,2026,2026-07,2838,2839,Cliente_002839,Sao Paulo,Brazil,VIP,391,392,Sao Paulo Mekong Corner,Vietnamese,Sao Paulo,Brazil,Bajo,3.8,1,"It was fine, some items were cold."
3027,8393,20250826,2025-08-26,26,Tuesday,0,35,8,August,3,2025,2025-08,1206,1207,Cliente_001207,Sao Paulo,Brazil,Recurrente,392,393,Sao Paulo Tropicana Place,Brazilian,Sao Paulo,Brazil,Alto,5.0,0,
3028,8396,20250917,2025-09-17,17,Wednesday,0,38,9,September,3,2025,2025-09,250,251,Cliente_000251,Hyderabad,India,VIP,395,396,Chennai Aegean Blue Kitchen,Greek,Chennai,India,Bajo,2.6,1,"Average experience, nothing special."
3029,8397,20260502,2026-05-02,2,Saturday,1,18,5,May,2,2026,2026-05,4457,4458,Cliente_004458,Mumbai,India,VIP,396,397,Mumbai Frontera Table,Mexican,Mumbai,India,Alto,2.0,0,
3030,8398,20251021,2025-10-21,21,Tuesday,0,43,10,October,4,2025,2025-10,2825,2826,Cliente_002826,Osaka,Japan,Recurrente,397,398,Osaka Dosan Kitchen & Bar,Korean,Osaka,Japan,Medio,3.3,0,
3031,8400,20260827,2026-08-27,27,Thursday,0,35,8,August,3,2026,2026-08,3473,3474,Cliente_003474,Delhi,India,VIP,399,400,Delhi Bistro Garden,French,Delhi,India,Alto,3.4,0,
3032,8403,20251015,2025-10-15,15,Wednesday,0,42,10,October,4,2025,2025-10,5925,5926,Cliente_005926,Nagoya,Japan,Recurrente,402,403,Nagoya Bella Eatery,Italian,Nagoya,Japan,Alto,3.8,1,"Average experience, nothing special."
3033,8408,20250415,2025-04-15,15,Tuesday,0,16,4,April,2,2025,2025-04,4428,4429,Cliente_004429,Delhi,India,VIP,407,408,Delhi Bossa Kitchen,Brazilian,Delhi,India,Bajo,3.9,1,"Food was okay, delivery took a while."
3034,8413,20251129,2025-11-29,29,Saturday,1,48,11,November,4,2025,2025-11,2390,2391,Cliente_002391,Los Angeles,United States,Recurrente,412,413,Los Angeles Charcoal Bistro,Korean,Los Angeles,United States,Medio,2.7,1,"Food was okay, delivery took a while."
3035,8421,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,4850,4851,Cliente_004851,Birmingham,United Kingdom,VIP,420,421,Birmingham Wok Table,Chinese,Birmingham,United Kingdom,Alto,4.4,0,
3036,8426,20260505,2026-05-05,5,Tuesday,0,19,5,May,2,2026,2026-05,1091,1092,Cliente_001092,New York,United States,Recurrente,425,426,Manchester Olympus Diner,Greek,Manchester,United Kingdom,Medio,4.0,0,
3037,8428,20250718,2025-07-18,18,Friday,0,29,7,July,3,2025,2025-07,2797,2798,Cliente_002798,Mumbai,India,Recurrente,427,428,Mumbai Bibim Corner,Korean,Mumbai,India,Medio,4.0,1,Consistently good quality.
3038,8439,20240915,2024-09-15,15,Sunday,1,38,9,September,3,2024,2024-09,4390,4391,Cliente_004391,Delhi,India,Recurrente,438,439,Delhi Madrid Eatery,Spanish,Delhi,India,Medio,2.0,1,Delivery was very delayed.
3039,8444,20251130,2025-11-30,30,Sunday,1,49,11,November,4,2025,2025-11,2275,2276,Cliente_002276,New York,United States,VIP,443,444,New York Uptown Kitchen,American,New York,United States,Medio,2.4,0,
3040,8448,20251001,2025-10-01,1,Wednesday,0,40,10,October,4,2025,2025-10,3350,3351,Cliente_003351,Delhi,India,EnRiesgo,447,448,Tokyo Trattoria Garden,Italian,Tokyo,Japan,Alto,2.1,1,"Poor experience, would not order again."
3041,8454,20241107,2024-11-07,7,Thursday,0,45,11,November,4,2024,2024-11,656,657,Cliente_000657,Chicago,United States,Recurrente,453,454,Chicago Barcelona House,Spanish,Chicago,United States,Bajo,5.0,1,Excellent service and tasty food.
3042,8457,20250217,2025-02-17,17,Monday,0,8,2,February,1,2025,2025-02,1215,1216,Cliente_001216,Tokyo,Japan,VIP,456,457,Tokyo Azteca Table,Mexican,Tokyo,Japan,Medio,5.0,1,"Great food, fast delivery, will order again."
3043,8464,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,3224,3225,Cliente_003225,Tokyo,Japan,VIP,463,464,Los Angeles Olive Corner,Mediterranean,Los Angeles,United States,Medio,2.2,0,
3044,8465,20250616,2025-06-16,16,Monday,0,25,6,June,2,2025,2025-06,612,613,Cliente_000613,Chicago,United States,VIP,464,465,Chicago Cedar Grove Place,Middle Eastern,Chicago,United States,Medio,2.5,0,
3045,8466,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,1097,1098,Cliente_001098,Sao Paulo,Brazil,VIP,465,466,New York Jade House,Chinese,New York,United States,Alto,3.5,1,"Food was okay, delivery took a while."
3046,8469,20260321,2026-03-21,21,Saturday,1,12,3,March,1,2026,2026-03,3971,3972,Cliente_003972,Rio de Janeiro,Brazil,Recurrente,468,469,Rio de Janeiro Costa Table,Spanish,Rio de Janeiro,Brazil,Alto,3.5,1,"It was fine, some items were cold."
3047,8473,20260704,2026-07-04,4,Saturday,1,27,7,July,3,2026,2026-07,2461,2462,Cliente_002462,Hyderabad,India,VIP,472,473,Hyderabad Kimchi Bistro,Korean,Hyderabad,India,Bajo,1.8,1,Delivery was very delayed.
3048,8475,20250907,2025-09-07,7,Sunday,1,37,9,September,3,2025,2025-09,4632,4633,Cliente_004633,Osaka,Japan,Recurrente,474,475,Tokyo Lumiere Eatery,French,Tokyo,Japan,Bajo,2.4,0,
3049,8479,20260317,2026-03-17,17,Tuesday,0,12,3,March,1,2026,2026-03,1421,1422,Cliente_001422,Tokyo,Japan,VIP,478,479,Tokyo Blue Wave Cafe,Mediterranean,Tokyo,Japan,Medio,2.5,0,
3050,8480,20250521,2025-05-21,21,Wednesday,0,21,5,May,2,2025,2025-05,4743,4744,Cliente_004744,Chicago,United States,VIP,479,480,Miami Oasis Kitchen,Middle Eastern,Miami,United States,Bajo,1.6,1,Delivery was very delayed.
3051,8481,20260716,2026-07-16,16,Thursday,0,29,7,July,3,2026,2026-07,1007,1008,Cliente_001008,Delhi,India,Recurrente,480,481,Delhi Lotus Table,Chinese,Delhi,India,Alto,3.3,1,"It was fine, some items were cold."
3052,8486,20250608,2025-06-08,8,Sunday,1,24,6,June,2,2025,2025-06,3968,3969,Cliente_003969,Rio de Janeiro,Brazil,VIP,485,486,Rio de Janeiro Opa Diner,Greek,Rio de Janeiro,Brazil,Alto,2.6,1,"Food was okay, delivery took a while."
3053,8488,20260401,2026-04-01,1,Wednesday,0,14,4,April,2,2026,2026-04,2044,2045,Cliente_002045,Delhi,India,EnRiesgo,487,488,Delhi Seoul Corner,Korean,Delhi,India,Medio,3.5,1,"It was fine, some items were cold."
3054,8492,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,4951,4952,Cliente_004952,Yokohama,Japan,VIP,491,492,Yokohama Siam Kitchen,Thai,Yokohama,Japan,Bajo,4.5,0,
3055,8494,20251230,2025-12-30,30,Tuesday,0,53,12,December,4,2025,2025-12,5569,5570,Cliente_005570,Tokyo,Japan,VIP,493,494,Tokyo Cedar Kitchen & Bar,Mediterranean,Tokyo,Japan,Alto,2.9,0,
3056,8495,20240829,2024-08-29,29,Thursday,0,35,8,August,3,2024,2024-08,515,516,Cliente_000516,Mumbai,India,VIP,494,495,Mumbai Casbah Grill,Middle Eastern,Mumbai,India,Alto,3.5,0,
3057,8497,20250926,2025-09-26,26,Friday,0,39,9,September,3,2025,2025-09,1694,1695,Cliente_001695,Rio de Janeiro,Brazil,VIP,496,497,Rio de Janeiro Saigon Bistro,Vietnamese,Rio de Janeiro,Brazil,Bajo,5.0,1,Consistently good quality.
3058,8499,20260501,2026-05-01,1,Friday,0,18,5,May,2,2026,2026-05,4136,4137,Cliente_004137,Sao Paulo,Brazil,VIP,498,499,Sao Paulo Ibiza Eatery,Spanish,Sao Paulo,Brazil,Alto,3.0,0,
3059,8500,20250727,2025-07-27,27,Sunday,1,31,7,July,3,2025,2025-07,1821,1822,Cliente_001822,Los Angeles,United States,Recurrente,499,500,Hyderabad Curry Leaf Corner,Indian,Hyderabad,India,Alto,4.2,0,
3060,8503,20250517,2025-05-17,17,Saturday,1,20,5,May,2,2025,2025-05,4438,4439,Cliente_004439,Houston,United States,VIP,502,503,Houston Hallyu Cafe,Korean,Houston,United States,Bajo,2.5,0,
3061,8504,20260717,2026-07-17,17,Friday,0,29,7,July,3,2026,2026-07,444,445,Cliente_000445,Chennai,India,VIP,503,504,Sao Paulo Liberty Kitchen,American,Sao Paulo,Brazil,Alto,3.4,0,
3062,8509,20260727,2026-07-27,27,Monday,0,31,7,July,3,2026,2026-07,3231,3232,Cliente_003232,Brasilia,Brazil,VIP,508,509,Tokyo Terra Bistro,Mediterranean,Tokyo,Japan,Medio,2.5,1,"It was fine, some items were cold."
3063,8511,20260616,2026-06-16,16,Tuesday,0,25,6,June,2,2026,2026-06,4554,4555,Cliente_004555,Brasilia,Brazil,VIP,510,511,Brasilia Silk Road Eatery,Chinese,Brasilia,Brazil,Alto,3.7,0,
3064,8515,20260707,2026-07-07,7,Tuesday,0,28,7,July,3,2026,2026-07,4598,4599,Cliente_004599,Manchester,United Kingdom,VIP,514,515,Manchester Tandoor Cafe,Indian,Manchester,United Kingdom,Alto,5.0,0,
3065,8516,20260811,2026-08-11,11,Tuesday,0,33,8,August,3,2026,2026-08,679,680,Cliente_000680,Delhi,India,Recurrente,515,516,Delhi Aegean Blue Kitchen,Greek,Delhi,India,Bajo,4.3,1,Consistently good quality.
3066,8518,20241015,2024-10-15,15,Tuesday,0,42,10,October,4,2024,2024-10,810,811,Cliente_000811,Sao Paulo,Brazil,EnRiesgo,517,518,Sao Paulo Dosan Kitchen & Bar,Korean,Sao Paulo,Brazil,Alto,3.4,1,Decent but could be better.
3067,8519,20260827,2026-08-27,27,Thursday,0,35,8,August,3,2026,2026-08,943,944,Cliente_000944,New York,United States,VIP,518,519,Tokyo Classic Grill,American,Tokyo,Japan,Bajo,3.7,0,
3068,8522,20260804,2026-08-04,4,Tuesday,0,32,8,August,3,2026,2026-08,4173,4174,Cliente_004174,Osaka,Japan,VIP,521,522,Osaka Bangkok Diner,Thai,Osaka,Japan,Medio,3.0,0,
3069,8524,20260822,2026-08-22,22,Saturday,1,34,8,August,3,2026,2026-08,94,95,Cliente_000095,Nagoya,Japan,VIP,523,524,Nagoya Coastal Corner,Mediterranean,Nagoya,Japan,Medio,3.8,0,
3070,8527,20251120,2025-11-20,20,Thursday,0,47,11,November,4,2025,2025-11,5861,5862,Cliente_005862,Tokyo,Japan,VIP,526,527,Yokohama Lantern Cafe,Vietnamese,Yokohama,Japan,Bajo,2.9,1,"It was fine, some items were cold."
3071,8528,20260625,2026-06-25,25,Thursday,0,26,6,June,2,2026,2026-06,3784,3785,Cliente_003785,Delhi,India,VIP,527,528,Yokohama Bossa Kitchen,Brazilian,Yokohama,Japan,Alto,4.5,0,
3072,8529,20260820,2026-08-20,20,Thursday,0,34,8,August,3,2026,2026-08,1316,1317,Cliente_001317,Yokohama,Japan,VIP,528,529,Tokyo Tapas Table,Spanish,Tokyo,Japan,Alto,2.3,1,Delivery was very delayed.
3073,8540,20260630,2026-06-30,30,Tuesday,0,27,6,June,2,2026,2026-06,3720,3721,Cliente_003721,Tokyo,Japan,VIP,539,540,Tokyo Damascus Kitchen,Middle Eastern,Tokyo,Japan,Medio,3.7,1,"Average experience, nothing special."
3074,8547,20251119,2025-11-19,19,Wednesday,0,47,11,November,4,2025,2025-11,1042,1043,Cliente_001043,New York,United States,EnRiesgo,546,547,Delhi Sol Eatery,Mexican,Delhi,India,Alto,4.1,0,
3075,8550,20251003,2025-10-03,3,Friday,0,40,10,October,4,2025,2025-10,4137,4138,Cliente_004138,Rio de Janeiro,Brazil,Recurrente,549,550,Rio de Janeiro Champs House,French,Rio de Janeiro,Brazil,Bajo,4.6,0,
3076,8554,20260117,2026-01-17,17,Saturday,1,3,1,January,1,2026,2026-01,54,55,Cliente_000055,Birmingham,United Kingdom,VIP,553,554,Birmingham Levant Kitchen & Bar,Mediterranean,Birmingham,United Kingdom,Bajo,5.0,0,
3077,8555,20260708,2026-07-08,8,Wednesday,0,28,7,July,3,2026,2026-07,3011,3012,Cliente_003012,Bangalore,India,VIP,554,555,Bangalore Sahara Grill,Middle Eastern,Bangalore,India,Medio,2.7,1,"It was fine, some items were cold."
3078,8558,20260729,2026-07-29,29,Wednesday,0,31,7,July,3,2026,2026-07,3705,3706,Cliente_003706,Mumbai,India,VIP,557,558,Mumbai Churrascaria Diner,Brazilian,Mumbai,India,Alto,5.0,0,
3079,8560,20260121,2026-01-21,21,Wednesday,0,4,1,January,1,2026,2026-01,5911,5912,Cliente_005912,New York,United States,VIP,559,560,New York Spice Corner,Indian,New York,United States,Alto,5.0,0,
3080,8561,20260818,2026-08-18,18,Tuesday,0,34,8,August,3,2026,2026-08,1115,1116,Cliente_001116,Birmingham,United Kingdom,VIP,560,561,Mumbai Santorini Place,Greek,Mumbai,India,Bajo,3.6,1,"It was fine, some items were cold."
3081,8566,20260719,2026-07-19,19,Sunday,1,30,7,July,3,2026,2026-07,3688,3689,Cliente_003689,Delhi,India,VIP,565,566,Delhi Sushi Kitchen & Bar,Japanese,Delhi,India,Medio,2.8,1,"Average experience, nothing special."
3082,8570,20260212,2026-02-12,12,Thursday,0,7,2,February,1,2026,2026-02,4410,4411,Cliente_004411,Sao Paulo,Brazil,VIP,569,570,Salvador Bazaar Diner,Middle Eastern,Salvador,Brazil,Alto,3.2,1,"It was fine, some items were cold."
3083,8572,20260816,2026-08-16,16,Sunday,1,34,8,August,3,2026,2026-08,1418,1419,Cliente_001419,New York,United States,Recurrente,571,572,New York Rice Paper Corner,Vietnamese,New York,United States,Alto,3.6,1,"Food was okay, delivery took a while."
3084,8573,20260723,2026-07-23,23,Thursday,0,30,7,July,3,2026,2026-07,3298,3299,Cliente_003299,New York,United States,Recurrente,572,573,New York Cerrado Place,Brazilian,New York,United States,Alto,2.6,0,
3085,8577,20260506,2026-05-06,6,Wednesday,0,19,5,May,2,2026,2026-05,3973,3974,Cliente_003974,Hyderabad,India,Recurrente,576,577,Tokyo Azteca Table,Mexican,Tokyo,Japan,Medio,4.2,0,
3086,8578,20260822,2026-08-22,22,Saturday,1,34,8,August,3,2026,2026-08,3157,3158,Cliente_003158,Mumbai,India,Recurrente,577,578,Mumbai Hanok Kitchen & Bar,Korean,Mumbai,India,Medio,4.9,0,
